                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0949,                 2.1151,                 1.3586,                 1.2702,                0.54644,                0.44165,                0.44937,                0.28327,                0.56085,                0.41906,                0.42477,                 0.2358,                 1.4087,                 2.6099,                 1.7945,                 1.5053,               6.04e-05,               6.04e-05,               6.04e-05
                     24,                 1.0787,                 2.0914,                 1.3336,                 1.2623,                0.52911,                0.44958,                0.44724,                0.28512,                0.52662,                0.43239,                0.42148,                0.23758,                 1.4042,                  2.613,                 1.7968,                  1.503,               5.86e-05,               5.86e-05,               5.86e-05
                     25,                 1.0757,                 2.0715,                 1.3101,                  1.254,                0.53721,                0.44349,                0.44679,                0.28656,                 0.5339,                0.42132,                0.41879,                0.23452,                 1.4145,                 2.6393,                 1.8005,                 1.5106,               5.68e-05,               5.68e-05,               5.68e-05
                     26,                 1.0573,                  2.053,                 1.2854,                 1.2438,                0.53262,                0.45512,                0.44884,                0.28783,                0.53468,                0.43139,                0.42397,                0.23859,                 1.4034,                 2.6315,                 1.7931,                 1.5044,                5.5e-05,                5.5e-05,                5.5e-05
                     27,                 1.0515,                 2.0263,                 1.2558,                 1.2358,                0.53608,                0.45176,                0.44911,                0.28597,                0.53377,                0.43465,                0.42413,                0.23935,                 1.4145,                 2.6286,                 1.7847,                 1.5124,               5.32e-05,               5.32e-05,               5.32e-05
                     28,                 1.0406,                 2.0063,                 1.2353,                 1.2294,                0.51843,                0.46829,                0.45554,                0.29017,                0.52295,                 0.4396,                0.42783,                0.23994,                 1.4093,                  2.668,                 1.7939,                 1.5109,               5.14e-05,               5.14e-05,               5.14e-05
                     29,                  1.032,                 1.9846,                 1.2158,                 1.2234,                0.52349,                0.45725,                 0.4498,                0.28808,                0.52792,                0.42955,                  0.421,                0.24008,                 1.4148,                 2.6922,                 1.7949,                 1.5171,               4.96e-05,               4.96e-05,               4.96e-05
                     30,                 1.0276,                 1.9742,                 1.1995,                 1.2186,                0.53281,                0.46056,                0.45147,                0.29093,                0.53008,                0.43873,                0.42899,                0.24363,                 1.4109,                 2.6855,                 1.7906,                 1.5111,               4.78e-05,               4.78e-05,               4.78e-05
                     31,                 1.0173,                 1.9574,                 1.1793,                 1.2112,                0.55541,                0.44237,                0.45077,                0.28999,                0.55419,                0.42616,                0.42438,                0.24052,                  1.424,                 2.6887,                 1.8028,                 1.5265,                4.6e-05,                4.6e-05,                4.6e-05
                     32,                 1.0091,                 1.9363,                 1.1587,                 1.2066,                 0.5358,                0.45284,                0.44806,                  0.288,                0.52421,                0.43057,                0.42137,                0.24002,                 1.4297,                 2.6861,                  1.807,                 1.5334,               4.42e-05,               4.42e-05,               4.42e-05
                     33,                 1.0008,                 1.9248,                  1.136,                 1.1971,                0.55336,                0.45416,                0.45161,                0.29036,                0.53072,                0.43555,                0.42393,                0.24076,                 1.4294,                 2.7163,                 1.8118,                  1.535,               4.24e-05,               4.24e-05,               4.24e-05
                     34,                0.99228,                 1.9009,                 1.1145,                 1.1919,                0.55013,                0.45158,                  0.452,                0.29126,                0.55833,                0.42467,                0.42617,                0.24227,                 1.4325,                 2.7195,                 1.8131,                 1.5381,               4.06e-05,               4.06e-05,               4.06e-05
